problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID005_M020_J020; minla_fav; 20; 20; True; 1770.4610951800646; 16161.0; 0.8904485430864332; 229180; 72601; 72600; 485975; 822760; time limit exceeded; 3600.078451871872; True;  
ID005_M020_J020; manne; 20; 20; False; nan; 1207.0; nan; 8000; 4201; 2517; 2516; 23600; optimal; 0.06234598159790039; False;  
ID005_M020_J020; minla_fav; 20; 20; False; nan; 1549.1416025137578; nan; 229180; 72601; 23225; 233330; 822760; optimal; 118.71250104904175; False;  
ID006_M020_J020; manne; 20; 20; True; 1424.90935861179; 1728.0; 0.1753996767292781; 8000; 4201; 2224; 58178719; 23600; time limit exceeded; 3600.33779501915; True;  
ID006_M020_J020; minla_fav; 20; 20; True; 1800.6300077937867; 17227.0; 0.8954762867711223; 229180; 72601; 72527; 734329; 822760; time limit exceeded; 3600.088944911957; True;  
ID006_M020_J020; manne; 20; 20; False; nan; 1291.0; nan; 8000; 4201; 2417; 2416; 23600; optimal; 0.06274795532226562; False;  
ID006_M020_J020; minla_fav; 20; 20; False; nan; 1566.6045960368556; nan; 229180; 72601; 25157; 237565; 822760; optimal; 67.59615206718445; False;  
ID007_M020_J020; manne; 20; 20; True; 1408.8448889279407; 1623.0; 0.1319501608576994; 8000; 4201; 2236; 52247809; 23600; time limit exceeded; 3600.0153579711914; True;  
ID007_M020_J020; minla_fav; 20; 20; True; 1767.892442912189; 16018.0; 0.889630887569467; 229180; 72601; 400; 310536; 822760; time limit exceeded; 3600.1165640354156; True;  
ID007_M020_J020; manne; 20; 20; False; nan; 1221.0; nan; 8000; 4201; 2428; 2427; 23600; optimal; 0.060508012771606445; False;  
ID007_M020_J020; minla_fav; 20; 20; False; nan; 1483.0338366808908; nan; 229180; 72601; 22481; 205667; 822760; optimal; 51.81472992897034; False;  
ID008_M020_J020; manne; 20; 20; True; 1398.0844055219457; 1668.9999999999993; 0.16232210573878822; 8000; 4201; 2250; 57586488; 23600; time limit exceeded; 3600.0146350860596; True;  
ID008_M020_J020; minla_fav; 20; 20; True; 2072.0; 17293.0; 0.8801827328976993; 229180; 72601; 400; 361285; 822760; time limit exceeded; 3600.0982241630554; True;  
ID008_M020_J020; manne; 20; 20; False; nan; 1227.0; nan; 8000; 4201; 2432; 2431; 23600; optimal; 0.06989097595214844; False;  
ID008_M020_J020; minla_fav; 20; 20; False; nan; 1545.6051048511572; nan; 229180; 72601; 24121; 211335; 822760; optimal; 114.04934310913086; False;  
ID009_M020_J020; manne; 20; 20; True; 1377.2029430492998; 1643.0000000000002; 0.16177544549646022; 8000; 4201; 2213; 61474501; 23600; time limit exceeded; 3600.013841867447; True;  
ID009_M020_J020; minla_fav; 20; 20; True; 1762.1302578959624; 15065.0; 0.8830315129176203; 229180; 72601; 72183; 331990; 822760; time limit exceeded; 3600.1277389526367; True;  
ID009_M020_J020; manne; 20; 20; False; nan; 1212.0; nan; 8000; 4201; 2435; 2434; 23600; optimal; 0.0615079402923584; False;  
ID009_M020_J020; minla_fav; 20; 20; False; nan; 1536.6891686383904; nan; 229180; 72601; 17367; 163163; 822760; optimal; 65.85120511054993; False;  
ID000_M015_J030; manne; 15; 30; True; 1112.5087280722732; 1903.9999999999998; 0.415699197441011; 13500; 6976; 3465; 64147680; 40050; time limit exceeded; 3601.083916902542; True;  
ID000_M015_J030; minla_fav; 15; 30; True; 1039.9999999999984; 17791.0; 0.941543477038947; 588570; 189676; 450; 551548; 2129340; time limit exceeded; 3624.1465270519257; True;  
ID000_M015_J030; manne; 15; 30; False; nan; 990.0; nan; 13500; 6976; 4044; 4043; 40050; optimal; 0.12644505500793457; False;  
ID000_M015_J030; minla_fav; 15; 30; False; nan; 1385.9087089408847; nan; 588570; 189676; 82561; 1089482; 2129340; optimal; 2864.3864080905914; False;  
ID001_M015_J030; manne; 15; 30; True; 1109.09074221319; 2105.999999999; 0.473366219271717; 13500; 6976; 3476; 34314109; 40050; time limit exceeded; 3600.318817138672; True;  
ID001_M015_J030; minla_fav; 15; 30; True; 1445.3678808737222; 18104.0; 0.9201630644678627; 588570; 189676; 189675; 543088; 2129340; time limit exceeded; 3618.900710105896; True;  
ID001_M015_J030; manne; 15; 30; False; nan; 972.0; nan; 13500; 6976; 4081; 4080; 40050; optimal; 0.1263737678527832; False;  
ID001_M015_J030; minla_fav; 15; 30; False; nan; 1445.3678808737582; nan; 588570; 189676; 73991; 800269; 2129340; optimal; 1322.078775882721; False;  
ID002_M015_J030; manne; 15; 30; True; 1072.7415319784218; 1980.0; 0.4582113474856224; 13500; 6976; 3465; 47943822; 40050; time limit exceeded; 3600.0191700458527; True;  
ID002_M015_J030; minla_fav; 15; 30; True; 1513.0170709663196; 18431.0; 0.9179091166531166; 588570; 189676; 450; 644114; 2129340; time limit exceeded; 3600.314232110977; True;  
ID002_M015_J030; manne; 15; 30; False; nan; 1056.0; nan; 13500; 6976; 4061; 4060; 40050; optimal; 0.11639595031738281; False;  
ID002_M015_J030; minla_fav; 15; 30; False; nan; 1512.5608344211773; nan; 588570; 189676; 69487; 908656; 2129340; optimal; 2146.7695739269257; False;  
